first_image,second_image,first_plot,second_plot,first_jlu,first_gau,second_jlu,second_gau,weight
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_124232.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162109.jpg,plot_26082c067072eb38d909,plot_60d8a72fe06bef6e6da4,26.0,11.5,1.0,6.400000095367432,0.0002587991766631603
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_161242.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_152743.jpg,plot_c08c9fc75665c975b852,plot_b87ad5766ebb2bbfcd29,1.0,6.5,43.0,12.5,0.003968254197388887
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162109.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_152743.jpg,plot_60d8a72fe06bef6e6da4,plot_b87ad5766ebb2bbfcd29,1.0,6.400000095367432,43.0,12.5,0.003968254197388887
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_152743.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_161549.jpg,plot_b87ad5766ebb2bbfcd29,plot_5008f76cf0a562f63097,43.0,12.5,7.0,1.7000000476837158,0.003968254197388887
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_132550.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162609.jpg,plot_cff264c1afb9a1cf9473,plot_49366699fc79f58ef04c,2.0,8.5,15.0,22.0,0.0004761904710903764
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_152653.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162609.jpg,plot_fe93ef196b1a8b77de19,plot_49366699fc79f58ef04c,1.0,8.5,15.0,22.0,0.0004761904710903764
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162609.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121314.jpg,plot_49366699fc79f58ef04c,plot_0de14b7453cf30ed2a1c,15.0,22.0,2.0,7.5,0.0004761904710903764
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162609.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_154649.jpg,plot_49366699fc79f58ef04c,plot_f974c33b3b939aa5f878,15.0,22.0,2.0,9.5,0.0004761904710903764
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162609.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_161242.jpg,plot_49366699fc79f58ef04c,plot_c08c9fc75665c975b852,15.0,22.0,1.0,6.5,0.0004761904710903764
2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_162609.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_154622.jpg,plot_49366699fc79f58ef04c,plot_5d8d172daef4ef20984f,15.0,22.0,1.0,7.5,0.0004761904710903764
