cohort_id,arm,seed,mae_vs_weak,bias_vs_weak,plot_weighted_mae_vs_weak
wg_insects_t1_bbch10,random,42,3.812375144958496,-2.3650624752044678,3.8201801776885986
dsv_asendorf_t1_bbch11,random,42,4.963795979022979,-3.738527297973633,4.809761047363281
wg_insects_t1_bbch10,random,43,3.8349066090583803,-2.3533172607421875,3.853989601135254
dsv_asendorf_t1_bbch11,random,43,4.803506672382355,-3.4391684532165527,4.6566081047058105
wg_insects_t1_bbch10,random,44,3.8369306445121767,-2.3743605613708496,3.856698513031006
dsv_asendorf_t1_bbch11,random,44,4.8007407879829405,-3.4306812286376953,4.6539306640625
wg_insects_t1_bbch10,random,45,3.8332557320594787,-2.3309545516967773,3.8516438007354736
dsv_asendorf_t1_bbch11,random,45,4.784394476413727,-3.393068313598633,4.6392364501953125
wg_insects_t1_bbch10,random,46,3.8430644416809083,-2.4500527381896973,3.865018367767334
dsv_asendorf_t1_bbch11,random,46,4.833487339019776,-3.507458209991455,4.683403968811035
wg_insects_t1_bbch10,synthetic,42,3.842179856300354,-2.449824333190918,3.864021062850952
dsv_asendorf_t1_bbch11,synthetic,42,4.830870270729065,-3.5028908252716064,4.680898189544678
wg_insects_t1_bbch10,synthetic,43,3.8410594511032103,-2.442931890487671,3.8627405166625977
dsv_asendorf_t1_bbch11,synthetic,43,4.827628889083862,-3.4957163333892822,4.677933216094971
wg_insects_t1_bbch10,synthetic,44,4.019561350345612,-2.609001874923706,4.015227794647217
dsv_asendorf_t1_bbch11,synthetic,44,4.686183722019195,-3.2700705528259277,4.5440287590026855
wg_insects_t1_bbch10,synthetic,45,4.189469339847565,-2.80888295173645,4.175030708312988
dsv_asendorf_t1_bbch11,synthetic,45,4.544123487472534,-2.614649772644043,4.4284892082214355
wg_insects_t1_bbch10,synthetic,46,4.1117131853103634,-2.7929821014404297,4.098104476928711
dsv_asendorf_t1_bbch11,synthetic,46,4.620115723609924,-3.0254647731781006,4.487266540527344
wg_insects_t1_bbch10,sham,42,3.838360085487366,-2.4023478031158447,3.8588833808898926
dsv_asendorf_t1_bbch11,sham,42,4.822631995677948,-3.48345947265625,4.673807621002197
wg_insects_t1_bbch10,sham,43,4.094414236545563,-3.0806241035461426,4.096516132354736
dsv_asendorf_t1_bbch11,sham,43,4.980229797363282,-3.8075826168060303,4.8205885887146
wg_insects_t1_bbch10,sham,44,3.9489389133453368,-2.8705224990844727,3.9536356925964355
dsv_asendorf_t1_bbch11,sham,44,4.8179568004608155,-3.427716016769409,4.672694683074951
wg_insects_t1_bbch10,sham,45,3.839358308315277,-2.4152891635894775,3.860217571258545
dsv_asendorf_t1_bbch11,sham,45,4.82805617570877,-3.49581241607666,4.67865514755249
wg_insects_t1_bbch10,sham,46,3.833673098087311,-2.349522590637207,3.8524670600891113
dsv_asendorf_t1_bbch11,sham,46,4.8067959022521975,-3.445873975753784,4.659647464752197
