image_id,absolute_path,relative_path,file_name,sha256,cohort_id,partner,location,experiment,sampling_date,timepoint,bbch,target,score_single,score_jlu,score_gau,annotator_difference,is_gold_standard,gold_threshold_points,supervision_tier,sample_weight,score_sources,score_qr_code,plot_number,genotype,plot_group_id,plot_group_source,split
img_a48b6b03e1b7bdc1e24b,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120858.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120858.jpg,20251021_120858.jpg,a48b6b03e1b7bdc1e24b9ff16704d246ff30d0bfacdaf73040b9da0070690533,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,10.25,,10.0,10.5,0.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,1_Smaragd_1_1,1,Smaragd,plot_10d602309fc728cf8fcf,score_qr,gold_train
img_537c4df4d3853cbad410,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120905.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120905.jpg,20251021_120905.jpg,537c4df4d3853cbad4101606bce521ec274f338841652185ce2f6b77fbd7127a,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,14.75,,13.0,16.5,3.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,1_Smaragd_1_1,1,Smaragd,plot_10d602309fc728cf8fcf,score_qr,gold_train
img_0c4c9cb29396024d9b9a,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120912.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120912.jpg,20251021_120912.jpg,0c4c9cb29396024d9b9a2c179be1d31496daded4f525d3fd1b062f27b91783df,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,7.75,,9.0,6.5,2.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,1_Smaragd_1_1,1,Smaragd,plot_10d602309fc728cf8fcf,score_qr,gold_train
img_b9c4def3abc08104f80b,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120926.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120926.jpg,20251021_120926.jpg,b9c4def3abc08104f80b03193eb64544ebc28ebc2d3605925442ae5480ee630e,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,21.25,,23.0,19.5,3.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,12_R4S_470_A4C34_2_1,12,A4C34,plot_de98edf563e8165440e1,score_qr,gold_train
img_49d69cd2c7fa61ce16b3,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120933.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120933.jpg,20251021_120933.jpg,49d69cd2c7fa61ce16b392db6d45c44ed84953fd77b7faa8234c7829cda3eff9,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,20.75,,20.0,21.5,1.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,12_R4S_470_A4C34_2_1,12,A4C34,plot_de98edf563e8165440e1,score_qr,gold_train
img_a56ac64e37717da992af,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120939.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_120939.jpg,20251021_120939.jpg,a56ac64e37717da992afd25287ff0fe20e546f7b2af88b0041ef2f104f03e3b0,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,20.25,,20.0,20.5,0.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,12_R4S_470_A4C34_2_1,12,A4C34,plot_de98edf563e8165440e1,score_qr,gold_train
img_bc338314967b8412df28,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121011.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121011.jpg,20251021_121011.jpg,bc338314967b8412df2894aa02c06df8e7a35764d5df4de51fba3f6692b27dd4,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,15.0,,16.0,14.0,2.0,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,13_R4S_212_Askari_3_1,13,Askari,plot_f0b6b467ed2f9cef0e19,score_qr,gold_train
img_c4a8a849a080fe92eecb,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121034.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121034.jpg,20251021_121034.jpg,c4a8a849a080fe92eecbba6d8a9911544830c6ba60cc8a94a3856655a5fff4ff,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,17.5,,19.0,16.0,3.0,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,13_R4S_212_Askari_3_1,13,Askari,plot_f0b6b467ed2f9cef0e19,score_qr,gold_train
img_1f7c65d3ddd3bf70aa11,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121047.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121047.jpg,20251021_121047.jpg,1f7c65d3ddd3bf70aa1152c8d26c66b189fa1a572839b9fc82a38484e1444d0f,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,20.25,,20.0,20.5,0.5,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,24_R4S_291_Wolynski_4_1,24,Wolynski,plot_3688e89ae2ebda0cc6bb,score_qr,gold_train
img_3faf08b1c1902df88bc1,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121100.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121100.jpg,20251021_121100.jpg,3faf08b1c1902df88bc125a4e95569373fb9e98112c21401fb120783384953d9,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,19.5,,20.0,19.0,1.0,True,5.0,gold,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv|RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set_scores.csv,24_R4S_291_Wolynski_4_1,24,Wolynski,plot_3688e89ae2ebda0cc6bb,score_qr,gold_train
