image_id,absolute_path,relative_path,file_name,sha256,cohort_id,partner,location,experiment,sampling_date,timepoint,bbch,target,score_single,score_jlu,score_gau,annotator_difference,is_gold_standard,gold_threshold_points,supervision_tier,sample_weight,score_sources,score_qr_code,plot_number,genotype,plot_group_id,plot_group_source,split
img_306671360da70c5ef91a,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2554.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2554.JPG,IMG_2554.JPG,306671360da70c5ef91ae000f4c678ca63e2f20ce5e418b67b29dccb7056afa7,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,1.0,1.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,8_R4S_427_J 154_1_8,,,plot_c86a34c84012b2a6cd5e,score_qr,weak_train
img_1097c05aae9edb82a974,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2561.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2561.JPG,IMG_2561.JPG,1097c05aae9edb82a974899445f06d0788a5a5bdd454a6d36e0178d42911d6a2,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,5.0,5.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,11_R4S_386_Major_1_11,,,plot_b876a7c031c3da996880,score_qr,weak_train
img_dca9308b7cad0f0f7b01,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2570.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2570.JPG,IMG_2570.JPG,dca9308b7cad0f0f7b01e77bb8cb0f48312925ea03ab3cea97dd6b8a6f501ce5,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,2.0,2.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,14_R4S_408_DH5 Oase x Nugget  PBY061 von NPZ_1_14,,,plot_3bd91170ed2167071221,score_qr,weak_train
img_b53092405a24b5066de5,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2575.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2575.JPG,IMG_2575.JPG,b53092405a24b5066de5f074a3869512495f07a04e86ae194998682a08802639,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,12.0,12.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,15_R4S_389_Librador_1_15,,,plot_c5c4cbd994bc130ff116,score_qr,weak_train
img_cc9798bb4441deb7785a,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2593.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2593.JPG,IMG_2593.JPG,cc9798bb4441deb7785a98e4327e529d557ccd6b08a79090831b2614d14d5cc7,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,10.0,10.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,22_R4S_224_APEX-93_5 X GINYOU_3 DH LINE_1_22,,,plot_40371a1af2798543b978,score_qr,weak_train
img_93360cab920093308bdd,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2596.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2596.JPG,IMG_2596.JPG,93360cab920093308bdd00dc69553669b64e131e4a48c3edbc8fe779c7f5689e,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,5.0,5.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,23_R4S_379_Skrzeszowicki_1_23,,,plot_2d323249f2cdbc401337,score_qr,weak_train
img_77254c0b6b9105403107,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2597.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2597.JPG,IMG_2597.JPG,77254c0b6b9105403107f825fb3fd06b64e8539e77ee21dea9fd46d2b35d8297,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,4.0,4.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,23_R4S_379_Skrzeszowicki_1_23,,,plot_2d323249f2cdbc401337,score_qr,weak_train
img_74625be88906ecf1b052,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2600.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2600.JPG,IMG_2600.JPG,74625be88906ecf1b05237f265a919e1110fb3a8ac34f53ad4ca196995204c5c,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,7.0,7.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,24_R4S_384_Mestnij_1_24,,,plot_7e3914ccf642d49c8258,score_qr,weak_train
img_2a7f6711719444eb44ed,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2602.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2602.JPG,IMG_2602.JPG,2a7f6711719444eb44ed8aa0b7e44e5423eb71a6db1854a4bbaa4c245cb855bf,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,3.0,3.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,25_R4S_344_Conqueror Bronze Green Top_1_25,,,plot_4c75cf4fe53b689660ca,score_qr,weak_train
img_fec0896712500ef6cce4,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2606.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2606.JPG,IMG_2606.JPG,fec0896712500ef6cce4312ef5c446fe064895cef48b8b1e700a8b3ec5d38ae7,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,18.0,18.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,26_R4S_225_Barrel_1_26,,,plot_5a26296d1fb3d29bbb28,score_qr,weak_train
img_19c2fe17754e9dd53181,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2616.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2616.JPG,IMG_2616.JPG,19c2fe17754e9dd5318179c34fa39b2a937e2199b6e0055c1c784fc9281c7955,dsv_asendorf_t1_bbch11,DSV,Asendorf,Insects,2025-09-15_to_2025-09-17,T1,BBCH11,14.0,14.0,,,,False,5.0,single_weak,0.4,2025_09_15_Res4StRes_T1_DSV_scores.csv,29_R4S_221_MADRIGAL x RECITAL DH LINE_1_29,,,plot_9b875862086dac6bd729,score_qr,weak_train
