image_id,absolute_path,relative_path,file_name,sha256,cohort_id,partner,location,experiment,sampling_date,timepoint,bbch,target,score_single,score_jlu,score_gau,annotator_difference,is_gold_standard,gold_threshold_points,supervision_tier,sample_weight,score_sources,score_qr_code,plot_number,genotype,plot_group_id,plot_group_source,split
img_9dbe091740e1243961ac,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121053.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121053.jpg,20251021_121053.jpg,9dbe091740e1243961ac1cc5933f6fca3b2ca86f14a5c2b0632bebc8cfb5ac82,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,23.75,,21.0,26.5,5.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,24_R4S_291_Wolynski_4_1,24,Wolynski,plot_3688e89ae2ebda0cc6bb,score_qr,weak_pretrain
img_76473afdbe71232bad78,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121113.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121113.jpg,20251021_121113.jpg,76473afdbe71232bad7840a5b8d6f9b919ae93d843b8d492d74fe9e06ec64dcf,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,6.0,,2.0,10.0,8.0,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,25_R4S_387_Lirafit_5_1,25,Lirafit,plot_a7714d1b769d45a9b00a,score_qr,weak_pretrain
img_c7b7d4e478895fcfb3ea,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121126.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121126.jpg,20251021_121126.jpg,c7b7d4e478895fcfb3eaa717dffb7f90d25b1e6ca7569f9ca404ae55d0b6647f,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,8.25,,2.0,14.5,12.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,25_R4S_387_Lirafit_5_1,25,Lirafit,plot_a7714d1b769d45a9b00a,score_qr,weak_pretrain
img_b57f8fc353d0e9aac571,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121233.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121233.jpg,20251021_121233.jpg,b57f8fc353d0e9aac5714805fc8a2510fd103acde953e8577b5aace4985a36f4,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,27.25,,19.0,35.5,16.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,37_R4S_521_Taisetsu_7_1,37,Taisetsu,plot_75848644f50966d7f678,score_qr,weak_pretrain
img_291360dd35d78831e3d1,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121246.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121246.jpg,20251021_121246.jpg,291360dd35d78831e3d1027f794a293ac58ff386835185cd02253123dcb3bd1e,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,10.25,,7.0,13.5,6.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,48_R4S_406_S30_8_1,48,S30,plot_09d8a533567043e69854,score_qr,weak_pretrain
img_b2b974abb3907cce6ea4,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121301.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121301.jpg,20251021_121301.jpg,b2b974abb3907cce6ea4e5cb63020235661deba160881d9b1c01ccdacc92a524,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,4.5,,1.0,8.0,7.0,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,48_R4S_406_S30_8_1,48,S30,plot_09d8a533567043e69854,score_qr,weak_pretrain
img_5b06eb5201822c014f87,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121314.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121314.jpg,20251021_121314.jpg,5b06eb5201822c014f874ed44e39efb16f0b5cc40228e282e2ededb6468976e5,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,4.75,,2.0,7.5,5.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,49_R4S_427_J 154_9_1,49,J 154,plot_0de14b7453cf30ed2a1c,score_qr,weak_pretrain
img_f549c20b6edbd71abb09,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121353.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121353.jpg,20251021_121353.jpg,f549c20b6edbd71abb099718ea7164b6fb854ff9d8ff23129e37e89d9d667392,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,13.25,,7.0,19.5,12.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,60_R4S_209_Falcon_10_1,60,Falcon,plot_9594a1cc971fd111a051,score_qr,weak_pretrain
img_1314f43bd4a443f96885,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121402.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121402.jpg,20251021_121402.jpg,1314f43bd4a443f968855438213a9337dc42e027ffb22573db74e75717da0a3b,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,23.75,,18.0,29.5,11.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,60_R4S_209_Falcon_10_1,60,Falcon,plot_9594a1cc971fd111a051,score_qr,weak_pretrain
img_f14506db70124eea8a3d,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121517.jpg,2025_10_21_RSFB-Phenotyping_GG1_JLU/2025_10_21_RSFB-Phenotyping_GG1_JLU/20251021_121517.jpg,20251021_121517.jpg,f14506db70124eea8a3d6a08579efbd2e9cc6a2963dd4bac0e3d50dacbec7381,gg_insects_t1_bbch10,JLU,Gross-Gerau,Insects,2025-10-21,T1,BBCH10,13.25,,9.0,17.5,8.5,False,5.0,dual_weak,1.0,2025_10_21_RSFB-Phenotyping_GG1_scores.csv,73_R4S_437_S2_13_1,73,S2,plot_d262175a030921a83f7c,score_qr,weak_pretrain
