cohort_id,source_folder,total_images,sampled_images,preliminary_routes,decode_statuses,decision,sheet_path
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,900,12,"{""raw"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV.jpg
dsv_asendorf_t2_bbch15,2025_09_30_Res4StRes_T2_DSV,900,12,"{""raw"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV.jpg
gg_sulfur_bbch15,2025_10_14_RSFB-Phenotyping_GG_Sulfur_JLU,1271,12,"{""grid_crop"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/gg_sulfur_bbch15__2025_10_14_RSFB-Phenotyping_GG_Sulfur_JLU.jpg
npzi_malchow_t1_bbch10,2025_09_12_RSFB_01_NPZi,900,12,"{""grid_crop"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/npzi_malchow_t1_bbch10__2025_09_12_RSFB_01_NPZi.jpg
npzi_malchow_t2_bbch13,2025_09_19_RSFB_02_NPZi,904,12,"{""grid_crop"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/npzi_malchow_t2_bbch13__2025_09_19_RSFB_02_NPZi.jpg
rhh_insects_bbch13,2025_09_29_RSFB-Phenotyping_RHH1_JLU,883,12,"{""grid_crop"": 12}","{""ok"": 9, ""recovered_truncated"": 3}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/rhh_insects_bbch13__2025_09_29_RSFB-Phenotyping_RHH1_JLU.jpg
wg_insects_t1_bbch10,2025_10_07_RSFB-Phenotyping_WG1_JLU,910,12,"{""grid_crop"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/wg_insects_t1_bbch10__2025_10_07_RSFB-Phenotyping_WG1_JLU.jpg
wg_insects_t2_first_bbch15,2025_10_20_RSFB-Phenotyping_WG2_FirstHalf_JLU,359,12,"{""grid_crop"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/wg_insects_t2_first_bbch15__2025_10_20_RSFB-Phenotyping_WG2_FirstHalf_JLU.jpg
wg_insects_t2_first_bbch15,<dataset-root>,1,1,"{""grid_crop"": 1}","{""ok"": 1}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/wg_insects_t2_first_bbch15__dataset-root.jpg
wg_insects_t2_second_bbch15,2025_10_24_RSFB-Phenotyping_WG2_SecondHalf_JLU,541,12,"{""grid_crop"": 12}","{""ok"": 12}",visual_review_required,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_inspection/wg_insects_t2_second_bbch15__2025_10_24_RSFB-Phenotyping_WG2_SecondHalf_JLU.jpg
