cohort_id,source_folder,filename_family,image_id,file_name,relative_path,absolute_path,source_copy_path,raw_width,raw_height,decode_status,decode_warning,grid_status,grid_error,grid_area_fraction,outside_corner_count,grid_points_json,grid_overlay_path,outer_crop_path,inset_crop_path,comparison_path,review_complete_quadrat_visible,review_grid_detection_correct,review_inset_correct,review_recommended_route,review_notes
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_a2511c4479c757831696,IMG_2680.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2680.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2680.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/01_IMG_2680_57831696.jpg,4000,3000,ok,,detected_needs_manual_review,,0.142610,0,"[[[911.1699829101562, 52.209999084472656], [2244.43994140625, 64.19000244140625], [3608.2900390625, 76.44999694824219]], [[906.1799926757812, 366.0899963378906], [2244.739990234375, 363.69000244140625], [3611.43994140625, 361.239990234375]], [[901.010009765625, 690.5], [2245.080078125, 696.75], [3615.22998046875, 703.1300048828125]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/grid_overlay/01_IMG_2680_57831696.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/outer_crop/01_IMG_2680_57831696.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/inset_7.500_percent_crop/01_IMG_2680_57831696.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/comparison/01_IMG_2680_57831696.jpg,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_d6f6d1c206dcc0545216,IMG_2691.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2691.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2691.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/02_IMG_2691_c0545216.jpg,4000,3000,ok,,detected_needs_manual_review,,0.047334,0,"[[[92.66999816894531, 200.94000244140625], [628.1300048828125, 226.05999755859375], [868.469970703125, 237.3300018310547]], [[85.5999984741211, 540.760009765625], [562.6900024414062, 586.7100219726562], [868.0399780273438, 616.1199951171875]], [[78.47000122070312, 883.469970703125], [497.1300048828125, 948.02001953125], [867.5900268554688, 1005.1300048828125]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/grid_overlay/02_IMG_2691_c0545216.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/outer_crop/02_IMG_2691_c0545216.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/inset_7.500_percent_crop/02_IMG_2691_c0545216.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/comparison/02_IMG_2691_c0545216.jpg,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_d173d73c5e0ede5fd8c7,IMG_2770.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2770.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2770.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/03_IMG_2770_de5fd8c7.jpg,3000,4000,ok,,detected_needs_manual_review,,0.152317,0,"[[[1732.1300048828125, 959.0700073242188], [2022.5899658203125, 960.72998046875], [2384.860107421875, 962.7999877929688]], [[1929.9100341796875, 2350.239990234375], [2264.25, 2350.719970703125], [2578.929931640625, 2351.179931640625]], [[2132.090087890625, 3772.2900390625], [2512.550048828125, 3778.93994140625], [2779.159912109375, 3783.590087890625]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/grid_overlay/03_IMG_2770_de5fd8c7.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/outer_crop/03_IMG_2770_de5fd8c7.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/inset_7.500_percent_crop/03_IMG_2770_de5fd8c7.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/comparison/03_IMG_2770_de5fd8c7.jpg,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_03552370e7b20dbcbe5c,IMG_2787.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_2787.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_2787.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/04_IMG_2787_0dbcbe5c.jpg,4000,3000,ok,,detected_needs_manual_review,,0.160593,0,"[[[992.6300048828125, 57.0099983215332], [2362.050048828125, 57.29999923706055], [3788.840087890625, 57.61000061035156]], [[991.0800170898438, 194.05999755859375], [2363.360107421875, 417.54998779296875], [3782.27001953125, 648.6300048828125]], [[987.97998046875, 467.3999938964844], [2364.5400390625, 742.780029296875], [3778.080078125, 1025.56005859375]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/grid_overlay/04_IMG_2787_0dbcbe5c.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/outer_crop/04_IMG_2787_0dbcbe5c.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/inset_7.500_percent_crop/04_IMG_2787_0dbcbe5c.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/comparison/04_IMG_2787_0dbcbe5c.jpg,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_1e5ca395aac165c1cdce,IMG_3051.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_3051.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_3051.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/05_IMG_3051_65c1cdce.jpg,4000,3000,ok,,detected_needs_manual_review,,0.056610,0,"[[[53.91999816894531, 1995.3399658203125], [431.8299865722656, 2064.219970703125], [867.8400268554688, 2143.68994140625]], [[52.880001068115234, 2262.60009765625], [426.80999755859375, 2337.3798828125], [869.4400024414062, 2425.889892578125]], [[50.380001068115234, 2897.77001953125], [416.4599914550781, 2899.919921875], [872.1400146484375, 2902.590087890625]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/grid_overlay/05_IMG_3051_65c1cdce.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/outer_crop/05_IMG_3051_65c1cdce.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/inset_7.500_percent_crop/05_IMG_3051_65c1cdce.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/comparison/05_IMG_3051_65c1cdce.jpg,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_2a848056a61593ccc90b,IMG_3250.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_3250.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_3250.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/06_IMG_3250_93ccc90b.jpg,4000,3000,ok,,failed,"RuntimeError: Grid detection failed with LSD, Hough, and conservative boundary recovery. LSD result: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(23.3, 2030.9, -0.1), (53.4, 56.8, -3.2), (588.3, 1288.9, -0.1), (1145.0, 2434.8, -0.9), (1183.7, 147.5, -1.0)]; Hough fallback: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(18.0, 8425.2, 0.2), (64.6, 4220.9, 9.2), (135.3, 4851.0, 9.7), (164.3, 2933.3, -1.6), (174.7, 2829.3, 10.9), (209.3, 3441.8, 0.1), (1403.0, 4784.0, -0.1), (1444.0, 3875.9, 6.0), (1491.9, 4603.9, 2.0), (1492.1, 4755.1, -9.2), (1543.0, 5453.7, -1.1), (1578.4, 10385.2, -0.5)]; boundary recovery: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(18.0, 8425.2, 0.2), (64.6, 4220.9, 9.2), (135.3, 4851.0, 9.7), (164.3, 2933.3, -1.6), (174.7, 2829.3, 10.9), (209.3, 3441.8, 0.1), (1403.0, 4784.0, -0.1), (1444.0, 3875.9, 6.0), (1491.9, 4603.9, 2.0), (1492.1, 4755.1, -9.2), (1543.0, 5453.7, -1.1), (1578.4, 10385.2, -0.5)]",,,,,,,,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_008a134771f61ec7b0a1,IMG_3339.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_3339.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_3339.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/07_IMG_3339_1ec7b0a1.jpg,3000,4000,ok,,failed,"RuntimeError: Grid detection failed with LSD, Hough, and conservative boundary recovery. LSD result: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(18.2, 191.3, -1.8), (58.5, 2413.3, -0.2), (463.5, 116.5, 6.1), (614.5, 1457.8, -0.0), (1176.0, 1968.2, 0.3)]; Hough fallback: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(24.8, 2226.0, -9.5), (62.5, 3450.8, -2.8), (85.3, 4469.3, 8.0), (102.2, 2211.6, -11.3), (117.2, 1213.2, 10.7), (135.0, 2068.9, -9.4), (169.0, 1194.0, 0.3), (194.1, 1749.3, 6.5), (239.4, 1604.7, -1.2), (1220.6, 1205.7, 12.7), (1361.4, 1636.6, 0.2), (1472.3, 1200.8, -9.0)]; boundary recovery: Could not find three equally spaced steel bars. Detected clusters (position, support, angle): [(24.8, 2226.0, -9.5), (62.5, 3450.8, -2.8), (85.3, 4469.3, 8.0), (102.2, 2211.6, -11.3), (117.2, 1213.2, 10.7), (135.0, 2068.9, -9.4), (169.0, 1194.0, 0.3), (194.1, 1749.3, 6.5), (239.4, 1604.7, -1.2), (1220.6, 1205.7, 12.7), (1361.4, 1636.6, 0.2), (1472.3, 1200.8, -9.0)]",,,,,,,,,,,,
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,IMG,img_d97753707fd9a16435eb,IMG_3360.JPG,2025_09_15_Re4StRes_T1_DSV/IMG_3360.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_15_Re4StRes_T1_DSV/IMG_3360.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/raw/08_IMG_3360_a16435eb.jpg,3000,4000,ok,,detected_needs_manual_review,,0.326657,0,"[[[206.00999450683594, 833.8300170898438], [787.5, 836.3900146484375], [1596.8199462890625, 839.9600219726562]], [[194.0500030517578, 2233.510009765625], [787.5, 2237.219970703125], [1594.5899658203125, 2242.260009765625]], [[182.2100067138672, 3619.8701171875], [787.5, 3633.43994140625], [1592.3399658203125, 3651.47998046875]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/grid_overlay/08_IMG_3360_a16435eb.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/outer_crop/08_IMG_3360_a16435eb.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/inset_7.500_percent_crop/08_IMG_3360_a16435eb.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV/comparison/08_IMG_3360_a16435eb.jpg,,,,,
dsv_asendorf_t2_bbch15,2025_09_30_Res4StRes_T2_DSV,IMG,img_9769f75f285db7f5e969,IMG_3477.JPG,2025_09_30_Res4StRes_T2_DSV/IMG_3477.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_30_Res4StRes_T2_DSV/IMG_3477.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/raw/01_IMG_3477_b7f5e969.jpg,3000,4000,ok,,detected_needs_manual_review,,0.461337,0,"[[[364.1600036621094, 902.47998046875], [1557.4200439453125, 890.0], [2724.929931640625, 877.7899780273438]], [[375.45001220703125, 2067.050048828125], [1553.2099609375, 2064.22998046875], [2731.739990234375, 2061.39990234375]], [[386.6499938964844, 3222.52001953125], [1548.989990234375, 3239.3701171875], [2738.60009765625, 3256.6201171875]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/grid_overlay/01_IMG_3477_b7f5e969.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/outer_crop/01_IMG_3477_b7f5e969.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/inset_7.500_percent_crop/01_IMG_3477_b7f5e969.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/comparison/01_IMG_3477_b7f5e969.jpg,,,,,
dsv_asendorf_t2_bbch15,2025_09_30_Res4StRes_T2_DSV,IMG,img_0f78113bb35ccd543253,IMG_3496.JPG,2025_09_30_Res4StRes_T2_DSV/IMG_3496.JPG,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/2025_09_30_Res4StRes_T2_DSV/IMG_3496.JPG,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/raw/02_IMG_3496_cd543253.jpg,4000,3000,ok,,detected_needs_manual_review,,0.461992,0,"[[[886.5900268554688, 262.1700134277344], [2063.610107421875, 259.5], [3251.949951171875, 256.80999755859375]], [[871.5700073242188, 1432.4200439453125], [2041.6500244140625, 1431.1700439453125], [3232.860107421875, 1429.9000244140625]], [[856.0800170898438, 2638.840087890625], [2019.6099853515625, 2607.780029296875], [3214.2099609375, 2575.8798828125]]]",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/grid_overlay/02_IMG_3496_cd543253.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/outer_crop/02_IMG_3496_cd543253.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/inset_7.500_percent_crop/02_IMG_3496_cd543253.jpg,/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV/comparison/02_IMG_3496_cd543253.jpg,,,,,
