cohort_id,source_folder,dataset_images,sampled_images,filename_families,grid_statuses,output_directory
dsv_asendorf_t1_bbch11,2025_09_15_Re4StRes_T1_DSV,900,8,"{""IMG"": 8}","{""detected_needs_manual_review"": 6, ""failed"": 2}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t1_bbch11__2025_09_15_Re4StRes_T1_DSV
dsv_asendorf_t2_bbch15,2025_09_30_Res4StRes_T2_DSV,900,8,"{""IMG"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/dsv_asendorf_t2_bbch15__2025_09_30_Res4StRes_T2_DSV
gg_sulfur_bbch15,2025_10_14_RSFB-Phenotyping_GG_Sulfur_JLU,1271,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/gg_sulfur_bbch15__2025_10_14_RSFB-Phenotyping_GG_Sulfur_JLU
npzi_malchow_t1_bbch10,2025_09_12_RSFB_01_NPZi,900,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/npzi_malchow_t1_bbch10__2025_09_12_RSFB_01_NPZi
npzi_malchow_t2_bbch13,2025_09_19_RSFB_02_NPZi,904,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/npzi_malchow_t2_bbch13__2025_09_19_RSFB_02_NPZi
rhh_insects_bbch13,2025_09_29_RSFB-Phenotyping_RHH1_JLU,883,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/rhh_insects_bbch13__2025_09_29_RSFB-Phenotyping_RHH1_JLU
wg_insects_t1_bbch10,2025_10_07_RSFB-Phenotyping_WG1_JLU,910,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/wg_insects_t1_bbch10__2025_10_07_RSFB-Phenotyping_WG1_JLU
wg_insects_t2_first_bbch15,2025_10_20_RSFB-Phenotyping_WG2_FirstHalf_JLU,359,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/wg_insects_t2_first_bbch15__2025_10_20_RSFB-Phenotyping_WG2_FirstHalf_JLU
wg_insects_t2_first_bbch15,<dataset-root>,1,1,"{""timestamp"": 1}","{""detected_needs_manual_review"": 1}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/wg_insects_t2_first_bbch15__dataset-root
wg_insects_t2_second_bbch15,2025_10_24_RSFB-Phenotyping_WG2_SecondHalf_JLU,541,8,"{""timestamp"": 8}","{""detected_needs_manual_review"": 8}",/home/user/tabbakhab1/dev/project/outputs/dinov3_mixed_domain_adaptation/source_preprocessing_audit/seed_42_n8/wg_insects_t2_second_bbch15__2025_10_24_RSFB-Phenotyping_WG2_SecondHalf_JLU
